circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
0,2,8,2,1,3,4,0,0.355,0.3575,0.3625,0.09499999999999997,0.10499999999999998,0.10750000000000004,0.09499999999999997,0.10499999999999998,0.10750000000000004,00,0.35754640094662254
0,2,8,2,1,3,4,1,0.3275,0.36,0.365,0.0725,0.075,0.09,0.09499999999999997,0.10499999999999998,0.10750000000000004,01,0.360145515023934
0,2,8,2,1,3,4,1,0.14,0.1525,0.16,0.015,0.0225,0.025,0.09499999999999997,0.10499999999999998,0.10750000000000004,10,0.14064285406693272
0,2,8,2,1,3,4,2,0.1325,0.1375,0.1475,0.0,0.0,0.0,0.09499999999999997,0.10499999999999998,0.10750000000000004,11,0.14166522996251105
1,2,10,3,3,8,2,0,0.03,0.0375,0.0375,0.09750000000000003,0.09750000000000003,0.10999999999999999,0.09750000000000003,0.09750000000000003,0.10999999999999999,00,0.01891145475671576
1,2,10,3,3,8,2,1,0.235,0.24,0.24,0.0725,0.075,0.0775,0.09750000000000003,0.09750000000000003,0.10999999999999999,01,0.2433775739909555
1,2,10,3,3,8,2,1,0.1,0.1075,0.1075,0.0175,0.0225,0.0225,0.09750000000000003,0.09750000000000003,0.10999999999999999,10,0.05319013045640068
1,2,10,3,3,8,2,2,0.61,0.6225,0.65,0.0,0.0025,0.0025,0.09750000000000003,0.09750000000000003,0.10999999999999999,11,0.6845208407959278
2,4,8,0,3,1,12,0,0.075,0.09,0.0925,0.11750000000000005,0.13249999999999995,0.14500000000000002,0.11750000000000005,0.13249999999999995,0.14500000000000002,0000,0.09963612629035777
2,4,8,0,3,1,12,1,0.2025,0.21,0.2175,0.0175,0.0175,0.025,0.11750000000000005,0.13249999999999995,0.14500000000000002,0010,0.24034692363972976
